date,id_punto,value,x,y
2024-04-01,152040123,137.504,498128.188,5036618.682
2024-05-01,152040123,137.454,498128.188,5036618.682
2024-06-01,152040123,138.104,498128.188,5036618.682
2024-07-01,152040123,138.349,498128.188,5036618.682
2024-09-01,152040123,138.74066666666667,498128.188,5036618.682
2023-07-01,152470182,110.01,505965.493,5027127.819
2023-09-01,152470182,109.67,505965.493,5027127.819
2023-11-01,152470182,109.96,505965.493,5027127.819
2024-03-01,152470182,110.12,505965.493,5027127.819
2024-04-01,152470182,110.01,505965.493,5027127.819
2024-05-01,152470182,110.01,505965.493,5027127.819
2024-06-01,152470182,110.05,505965.493,5027127.819
2024-07-01,152470182,110.06,505965.493,5027127.819
2024-09-01,152470182,110.025,505965.493,5027127.819
2023-12-01,MW,129.61,502285.02,5035498.78
2024-01-01,MW,129.59,502285.02,5035498.78
2024-03-01,MW,129.84,502285.02,5035498.78
2024-04-01,MW,129.79,502285.02,5035498.78
2024-05-01,MW,129.69,502285.02,5035498.78
2024-06-01,MW,129.79,502285.02,5035498.78
2024-07-01,MW,129.58999999999997,502285.02,5035498.78
2024-09-01,MW,129.92000000000002,502285.02,5035498.78
2023-12-01,MWH,128.78,502568.36,5035247.39
2024-01-01,MWH,128.72,502568.36,5035247.39
2024-03-01,MWH,128.3,502568.36,5035247.39
2024-04-01,MWH,128.77,502568.36,5035247.39
2024-05-01,MWH,128.84,502568.36,5035247.39
2024-06-01,MWH,128.72,502568.36,5035247.39
2024-07-01,MWH,128.57,502568.36,5035247.39
2024-09-01,MWH,129.22,502568.36,5035247.39
2023-09-01,PZ1A,148.822,500643.834,5042820.189
2023-11-01,PZ1A,149.302,500643.834,5042820.189
2023-12-01,PZ1A,149.022,500643.834,5042820.189
2024-01-01,PZ1A,148.822,500643.834,5042820.189
2024-03-01,PZ1A,149.772,500643.834,5042820.189
2024-04-01,PZ1A,150.412,500643.834,5042820.189
2024-05-01,PZ1A,150.572,500643.834,5042820.189
2024-06-01,PZ1A,151.722,500643.834,5042820.189
2024-04-01,Pz1,139.36,498772.59,5037865.53
2024-06-01,Pz1,140.63,498772.59,5037865.53
2024-07-01,Pz1,141.29666666666665,498772.59,5037865.53
2024-09-01,Pz1,141.8,498772.59,5037865.53
2024-04-01,Pz2,137.29999999999998,499438.71,5037209.55
2024-05-01,Pz2,137.44,499438.71,5037209.55
